Freq.	V(vo)
1.51991108295291e+002	(-2.28746475876137e-001dB,-1.33649236216290e+001°)
1.52341133557238e+002	(-2.29780451340065e-001dB,-1.33948511629342e+001°)
1.52691964903733e+002	(-2.30819008160356e-001dB,-1.34248419480716e+001°)
1.53043604191136e+002	(-2.31862165817997e-001dB,-1.34548960857693e+001°)
1.53396053280079e+002	(-2.32909943869644e-001dB,-1.34850136847762e+001°)
1.53749314035482e+002	(-2.33962361947867e-001dB,-1.35151948538610e+001°)
1.54103388326557e+002	(-2.35019439761383e-001dB,-1.35454397018109e+001°)
1.54458278026821e+002	(-2.36081197095294e-001dB,-1.35757483374300e+001°)
1.54813985014108e+002	(-2.37147653811296e-001dB,-1.36061208695383e+001°)
1.55170511170574e+002	(-2.38218829847947e-001dB,-1.36365574069705e+001°)
1.55527858382710e+002	(-2.39294745220867e-001dB,-1.36670580585744e+001°)
1.55886028541352e+002	(-2.40375420022982e-001dB,-1.36976229332098e+001°)
1.56245023541691e+002	(-2.41460874424776e-001dB,-1.37282521397468e+001°)
1.56604845283281e+002	(-2.42551128674487e-001dB,-1.37589457870652e+001°)
1.56965495670051e+002	(-2.43646203098372e-001dB,-1.37897039840525e+001°)
1.57326976610316e+002	(-2.44746118100928e-001dB,-1.38205268396026e+001°)
1.57689290016783e+002	(-2.45850894165120e-001dB,-1.38514144626149e+001°)
1.58052437806567e+002	(-2.46960551852618e-001dB,-1.38823669619924e+001°)
1.58416421901196e+002	(-2.48075111804055e-001dB,-1.39133844466407e+001°)
1.58781244226623e+002	(-2.49194594739212e-001dB,-1.39444670254663e+001°)
1.59146906713238e+002	(-2.50319021457293e-001dB,-1.39756148073754e+001°)
1.59513411295874e+002	(-2.51448412837136e-001dB,-1.40068279012725e+001°)
1.59880759913823e+002	(-2.52582789837468e-001dB,-1.40381064160589e+001°)
1.60248954510840e+002	(-2.53722173497111e-001dB,-1.40694504606311e+001°)
1.60617997035159e+002	(-2.54866584935245e-001dB,-1.41008601438800e+001°)
1.60987889439498e+002	(-2.56016045351617e-001dB,-1.41323355746885e+001°)
1.61358633681074e+002	(-2.57170576026787e-001dB,-1.41638768619307e+001°)
1.61730231721611e+002	(-2.58330198322375e-001dB,-1.41954841144705e+001°)
1.62102685527349e+002	(-2.59494933681265e-001dB,-1.42271574411596e+001°)
1.62475997069059e+002	(-2.60664803627868e-001dB,-1.42588969508364e+001°)
1.62850168322048e+002	(-2.61839829768337e-001dB,-1.42907027523245e+001°)
1.63225201266174e+002	(-2.63020033790810e-001dB,-1.43225749544309e+001°)
